parsed_name,organization,contributor_id,type,name
guy dancosse,Royal Canadian Mint,26603,Govenor In Council Appointments,"Dancosse, Guy"
ghislain harvey,Royal Canadian Mint,27783,Govenor In Council Appointments,"Harvey, Ghislain"
carman joynt,Royal Canadian Mint,719,Govenor In Council Appointments,"Joynt, Carman"
carol skelton,Royal Canadian Mint,27823,Govenor In Council Appointments,"Skelton, Carol"
elizabeth walker,Royal Canadian Mounted Police External Review Committee,27794,Govenor In Council Appointments,"Walker, Elizabeth"
martial bouchard,Saguenay Port Authority,27843,Govenor In Council Appointments,"Bouchard, Martial"
karin schnarr,Social Sciences and Humanities Research Council,28179,Govenor In Council Appointments,"Schnarr, Karin"
jatinder bhullar,Social Security Tribunal,28255,Govenor In Council Appointments,"Bhullar, Jatinder"
claude durand,Social Security Tribunal,28382,Govenor In Council Appointments,"Durand, Claude"
pierre lafontaine,Social Security Tribunal,28212,Govenor In Council Appointments,"Lafontaine, Pierre"
normand morin,Social Security Tribunal,28520,Govenor In Council Appointments,"Morin, Normand"
eleni palantzas,Social Security Tribunal,72940,Govenor In Council Appointments,"Palantzas, Eleni"
raymond raphael,Social Security Tribunal,28706,Govenor In Council Appointments,"Raphael, Raymond"
roxanne morrissey,St. John's Port Authority,29054,Govenor In Council Appointments,"Morrissey, Roxanne"
john walter,Standards Council of Canada,29203,Govenor In Council Appointments,"Walter, John"
michel roy,Telefilm Canada,28931,Govenor In Council Appointments,"Roy, Michel"
john badowski,Transportation Appeal Tribunal of Canada,29386,Govenor In Council Appointments,"Badowski, John"
gary drouin,Transportation Appeal Tribunal of Canada,29420,Govenor In Council Appointments,"Drouin, Gary"
herbert lee,Transportation Appeal Tribunal of Canada,29423,Govenor In Council Appointments,"Lee, Herbert"
stephen rogers,Transportation Appeal Tribunal of Canada,29447,Govenor In Council Appointments,"Rogers, Stephen"
pierre desjardins,Veterans Review and Appeal Board,29757,Govenor In Council Appointments,"Desjardins, Pierre"
roger langille,Veterans Review and Appeal Board,771,Govenor In Council Appointments,"Langille, Roger"
robert malo,Veterans Review and Appeal Board,29878,Govenor In Council Appointments,"Malo, Robert"
serge martel,Veterans Review and Appeal Board,786,Govenor In Council Appointments,"Martel, Serge"
joan walsh,Veterans Review and Appeal Board,777,Govenor In Council Appointments,"Walsh, Joan"
richard woodfield,Veterans Review and Appeal Board,29969,Govenor In Council Appointments,"Woodfield, Richard"
denis durand,VIA Rail Canada Inc.,29824,Govenor In Council Appointments,"Durand, Denis"
david hoff,VIA Rail Canada Inc.,29825,Govenor In Council Appointments,"Hoff, David"
randy barber,Social Security Tribunal,795,Govenor In Council Appointments,"Barber, Randy"
barbara sutherland,Canada Lands Company Limited,30204,Govenor In Council Appointments,"Sutherland, Barbara Jean"
bhalwinder waraich,Social Sciences and Humanities Research Council,30206,Govenor In Council Appointments,"Waraich, Bhalwinder Singh"
michael beauchesne,Social Security Tribunal,30249,Govenor In Council Appointments,"Beauchesne, Michael Anthony"
apostolos kefalas,Jacques Cartier and Champlain Bridges Incorporated (The),30488,Govenor In Council Appointments,"Kefalas, Apostolos Paul"
stephen campbell,Canadian Transportation Agency,30627,Govenor In Council Appointments,"Campbell, Stephen Douglas"
peter fitzgerald,Canadian Transportation Agency,30617,Govenor In Council Appointments,"Fitzgerald, Peter Paul"
william mcmurray,Canadian Transportation Agency,30612,Govenor In Council Appointments,"McMurray, William George Avery"
kenneth atkinson,Immigration and Refugee Board,30633,Govenor In Council Appointments,"Atkinson, Kenneth David"
garfield moffatt,Marine Atlantic Inc.,30646,Govenor In Council Appointments,"Moffatt, Garfield Ian"
gregory thompson,Roosevelt Campobello International Park Commission,30791,Govenor In Council Appointments,"Thompson, Gregory Francis"
deanne stapleton,St. John's Port Authority,31163,Govenor In Council Appointments,"Stapleton, Deanne Helen"
bradley caldwell,Transportation Appeal Tribunal of Canada,30849,Govenor In Council Appointments,"Caldwell, Bradley Morris"
james balsillie,Canada Foundation for Sustainable Development Technology,30922,Govenor In Council Appointments,"Balsillie, James Laurence"
andrew paterson,Canada Post Corporation,30837,Govenor In Council Appointments,"Paterson, Andrew Bartholomew"
ronald williams,Canadian Human Rights Tribunal,30983,Govenor In Council Appointments,"Williams, Ronald Sydney"
kenneth maclean,Immigration and Refugee Board,31100,Govenor In Council Appointments,"MacLean, Kenneth Duncan"
veronica zanfir,Immigration and Refugee Board,30942,Govenor In Council Appointments,"Zanfir, Veronica Gabriela"
jane hungerford,National Museum of Science and Technology,30992,Govenor In Council Appointments,"Hungerford, Jane Knott"
edward gullberg,Payments in lieu of Taxes Dispute Advisory Panel,30999,Govenor In Council Appointments,"Gullberg, Edward Wayne"
jennifer clarke,Prince Rupert Port Authority,30879,Govenor In Council Appointments,"Clarke, Jennifer Brunsdale"
michael collins,Social Security Tribunal,31221,Govenor In Council Appointments,"Collins, Michael Joseph"
michael crosbie,St. John's Port Authority,31403,Govenor In Council Appointments,"Crosbie, Michael John"
james macdonald,Transportation Appeal Tribunal of Canada,31339,Govenor In Council Appointments,"Macdonald, James Edwin"
timothy chapman,Vancouver Fraser Port Authority,31311,Govenor In Council Appointments,"Chapman, Timothy John"
bernard leblanc,Veterans Review and Appeal Board,31354,Govenor In Council Appointments,"LeBlanc, Bernard Thomas"
patricia mella,Atlantic Pilotage Authority,31541,Govenor In Council Appointments,"Mella, Patricia Janet"
leonard sharpe,Canada Mortgage and Housing Corporation,31521,Govenor In Council Appointments,"Sharpe, Leonard Peter"
donald mcinnes,Canada Post Corporation,31544,Govenor In Council Appointments,"McInnes, Donald Stewart"
terrence leier,Canadian Broadcasting Corporation,31547,Govenor In Council Appointments,"Leier, Terrence Anthony"
ricki johnston,Canadian Human Rights Tribunal,31606,Govenor In Council Appointments,"Johnston, Ricki Theresa"
kelly mccauley,Edmonton Northlands,31756,Govenor In Council Appointments,"McCauley, Kelly John"
richard morgan,International Joint Commission,32256,Govenor In Council Appointments,"Morgan, Richard Arthur"
lubomyr luciuk,Parole Board of Canada,32026,Govenor In Council Appointments,"Luciuk, Lubomyr Yaroslav"
stuart whitley,Parole Board of Canada,32016,Govenor In Council Appointments,"Whitley, Stuart James"
robert tchegus,Payments in lieu of Taxes Dispute Advisory Panel,32035,Govenor In Council Appointments,"Tchegus, Robert Paul"
robert hallsor,Prince Rupert Port Authority,31836,Govenor In Council Appointments,"Hallsor, Robert Bruce Ellis"
margot ballagh,Social Security Tribunal,32143,Govenor In Council Appointments,"Ballagh, Margot Mary Douglas"
kathleen craig,Social Security Tribunal,32148,Govenor In Council Appointments,"Craig, Kathleen Loo"
eric stefanson,VIA Rail Canada Inc.,32421,Govenor In Council Appointments,"Stefanson, Eric Lorne"
william graham,Windsor-Detroit Bridge Authority,32431,Govenor In Council Appointments,"Graham, William Alvin"
edward larsen,Halifax Port Authority,32442,Govenor In Council Appointments,"Larsen, Edward Clarke"
brian ritchie,Atlantic Pilotage Authority,32552,Govenor In Council Appointments,"Ritchie, Brian Gregory"
raymond salci,Citizenship Commission,32623,Govenor In Council Appointments,"Salci, Raymond Theodore"
connie graham,Federal Bridge Corporation Limited (The),892,Govenor In Council Appointments,"Graham, Connie Lois"
robert lemire,Great Lakes Pilotage Authority,32966,Govenor In Council Appointments,"Lemire, Robert Fernand"
robert savage,Hamilton Port Authority,32839,Govenor In Council Appointments,"Savage, Robert Paul"
robert garner,Immigration and Refugee Board,32905,Govenor In Council Appointments,"Garner, Robert Sinclair"
donald walcot,National Arts Centre Corporation,33011,Govenor In Council Appointments,"Walcot, Donald Thomas"
peter bernard,Pacific Pilotage Authority,33158,Govenor In Council Appointments,"Bernard, Peter Goodwin"
david bromley,Ridley Terminals Inc.,33347,Govenor In Council Appointments,"Bromley, David Edward George"
thomas giraud,Ridley Terminals Inc.,26090,Govenor In Council Appointments,"Giraud, Thomas Sewell Byng"
philip brewer,Saint John Port Authority,33411,Govenor In Council Appointments,"Brewer, Philip Carroll"
martin bugden,Social Security Tribunal,33414,Govenor In Council Appointments,"Bugden, Martin Henry"
john eberhard,Social Security Tribunal,33439,Govenor In Council Appointments,"Eberhard, John Janes"
teresa jaenen,Social Security Tribunal,33452,Govenor In Council Appointments,"Jaenen, Teresa Diane"
john mccarthy,Social Security Tribunal,33443,Govenor In Council Appointments,"McCarthy, John Gerard"
michael moore,Social Security Tribunal,33436,Govenor In Council Appointments,"Moore, Michael Tyler"
carol kerfoot,Vancouver Fraser Port Authority,33557,Govenor In Council Appointments,"Kerfoot, Carol Alexandra"
ramona materi,VIA Rail Canada Inc.,33503,Govenor In Council Appointments,"Materi, Ramona Rosanne"
bianca deluca,Windsor Port Authority,33534,Govenor In Council Appointments,"DeLuca, Bianca Mary"
denise ghanam,Windsor Port Authority,33559,Govenor In Council Appointments,"Ghanam, Denise Clair"
kevin falcon,Asia-Pacific Foundation of Canada,33560,Govenor In Council Appointments,"Falcon, Kevin Matthew"
patric whyte,Canada Industrial Relations Board,33685,Govenor In Council Appointments,"Whyte, Patric Francis"
andrea peart,Canadian Centre for Occupational Health and Safety,33814,Govenor In Council Appointments,"Peart, Andrea Lea"
kathleen fox,Canadian Transportation Accident Investigation and Safety Board,33836,Govenor In Council Appointments,"Fox, Kathleen Carol"
jean ouellet,Defence Construction (1951) Limited,33955,Govenor In Council Appointments,"Ouellet, Jean Marc"
gordon mcrae,Immigration and Refugee Board,34126,Govenor In Council Appointments,"McRae, Gordon Christopher"
david caddey,Independent Review Panel for Defence Acquisition,34062,Govenor In Council Appointments,"Caddey, David Neil"
james fraser,International Commission on the Conservation of Atlantic Tunas,34127,Govenor In Council Appointments,"Fraser, James Douglas"
gary valcour,Oshawa Port Authority,34311,Govenor In Council Appointments,"Valcour, Gary Franklin"
murray dodds,Parole Board of Canada,34338,Govenor In Council Appointments,"Dodds, Murray Allan"
keith heming,Parole Board of Canada,949,Govenor In Council Appointments,"Heming, Keith Ian Munro"
james wilson,Payments in lieu of Taxes Dispute Advisory Panel,34547,Govenor In Council Appointments,"Wilson, James Scott"
glen johnson,Social Security Tribunal,34830,Govenor In Council Appointments,"Johnson, Glen John"
patrick dowd,Transportation Appeal Tribunal of Canada,34886,Govenor In Council Appointments,"Dowd, Patrick Terrence"
laura safran,Transportation Appeal Tribunal of Canada,36058,Govenor In Council Appointments,"Safran, Laura Marilyn"
james wilson,Treaty Relations Commission of Manitoba,35310,Govenor In Council Appointments,"Wilson, James Brook"
robert watt,"Advisory Committee on Vice-Regal Appointments,Citizenship Commission",35525,Govenor In Council Appointments,"Watt, Robert Douglas"
laurie hawn,Canada-US Permanent Joint Board on Defence,963,Govenor In Council Appointments,"Hawn, Laurie Daniel"
susan knott,Canadian Museum of Nature,35232,Govenor In Council Appointments,"Knott, Susan Jane"
david cohen,National Museum of Science and Technology,35426,Govenor In Council Appointments,"Cohen, David James"
peter singh,Oshawa Port Authority,35250,Govenor In Council Appointments,"Singh, Peter Ganga"
glenn cooke,Saint John Port Authority,973,Govenor In Council Appointments,"Cooke, Glenn Bruce"
lisa keenan,Saint John Port Authority,979,Govenor In Council Appointments,"Keenan, Lisa Ann Kathleen"
john peters,Senate,35492,Govenor In Council Appointments,"Peters, John Gregory"
connie dyck,Social Security Tribunal,35179,Govenor In Council Appointments,"Dyck, Connie Lee"
john hodder,St. John's Port Authority,34737,Govenor In Council Appointments,"Hodder, John Walter"
john young,Canadian Museum for Human Rights,35814,Govenor In Council Appointments,"Young, John Fitzgerald"
james paul,Defence Construction (1951) Limited,35255,Govenor In Council Appointments,"Paul, James Stewart"
lisa smith,National Seniors Council,35256,Govenor In Council Appointments,"Smith, Lisa Marie"
paul young,Payments in lieu of Taxes Dispute Advisory Panel,35890,Govenor In Council Appointments,"Young, Paul Robert"
mark borer,Social Security Tribunal,35906,Govenor In Council Appointments,"Borer, Mark Steven"
anne clark,Social Security Tribunal,35189,Govenor In Council Appointments,"Clark, Anne Shirley"
neil nawaz,Social Security Tribunal,35911,Govenor In Council Appointments,"Nawaz, Neil Parvaiz"
john power,Supreme Court of Canada,36092,Govenor In Council Appointments,"Power, John David"
oudit rai,Social Security Tribunal,35339,Govenor In Council Appointments,"Rai, Oudit Narine"
john rose,Social Security Tribunal,34747,Govenor In Council Appointments,"Rose, John Franklin Leonard"
roy smith,Social Security Tribunal,35575,Govenor In Council Appointments,"Smith, Roy Grant"
craig rix,Windsor-Detroit Bridge Authority,36161,Govenor In Council Appointments,"Rix, Craig Stuart"
tim kwan,National Seniors Council,34757,Govenor In Council Appointments,"Kwan, Tim Wing"
david usher,Ambassador to ÊVietnam??,988,Ambassador,"Usher, David"
eric walsh,Ambassador to ÊBelgium??,36711,Ambassador,"Walsh, Eric"
mark mcdowell,Ambassador to ÊÊSwitzerland??,36798,Ambassador,"McDowell, Mark"
gordon campbell,Ambassador to ÊPanama??,37394,Ambassador,"Campbell, Gordon"
john morrison,Ambassador to ÊBangladesh??,37494,Ambassador,"Morrison, John"
kathleen mackay,Ambassador to ??,37030,Ambassador,"Mackay, Kathleen"
lawrence cannon,Ambassador to ÊMorocco??,37516,Ambassador,"Cannon, Lawrence"
robert mcdougall,Ambassador to ??,37170,Ambassador,"McDougall, Robert"
vivian bercovici,Ambassador to ??,37628,Ambassador,"Bercovici, Vivian"
yves gagnon,Ambassador to ÊIsrael??,37507,Ambassador,"Gagnon, Yves"
richard wagner,Supreme Court of Canada,37855,Supreme Court of Canada,"Wagner, Richard"
russell brown,Supreme Court of Canada,37843,Supreme Court of Canada,"Brown, Russell"
guy smith,Tax Court of Canada,37938,Tax Court of Canada,Guy R. Smith
john owen,Tax Court of Canada,37846,Tax Court of Canada,John R. Owen
roger hughes,Federal Court Judge,37783,Federal Court Judge,Roger T. Hughes
peter annis,Federal Court Judge,37860,Federal Court Judge,Peter B. Annis
henry brown,Federal Court Judge,38020,Federal Court Judge,Henry S. Brown
keith boswell,Federal Court Judge,38034,Federal Court Judge,Keith M. Boswell
frank pizzitelli,Tax Court of Canada,38156,Tax Court of Canada,Frank J. Pizzitelli
david graham,Tax Court of Canada,38190,Tax Court of Canada,David E. Graham
brian porter,"President and CEO, Scotiabank, Toronto, Ontario",38164,Advisory Council for CanadaÕs Global Markets Action Plan (GMAP),Brian J. Porter
sandra simpson,Federal Court Judge,38203,Federal Court Judge,Sandra J. Simpson
donald lindsay,"President and CEO, Teck Resources Ltd., Vancouver, British Columbia",38745,Advisory Council for CanadaÕs Global Markets Action Plan (GMAP),Donald R. Lindsay
douglas campbell,Federal Court Judge,38725,Federal Court Judge,Douglas R. Campbell
michael manson,Federal Court Judge,38687,Federal Court Judge,Michael D. Manson
patrick boyle,Tax Court of Canada,38938,Tax Court of Canada,Patrick J. Boyle
kathleen lyons,Tax Court of Canada,38789,Tax Court of Canada,Kathleen T. Lyons
robert hogan,Tax Court of Canada,38856,Tax Court of Canada,Robert James Hogan
susan elliott,Federal Court Judge,38971,Federal Court Judge,Susan Elliott
denis pelletier,Federal court of appeal,39022,Federal court of appeal,Denis Pelletier
michel beaudry,Federal Court Judge,39059,Federal Court Judge,Michel Beaudry
james russell,Federal Court Judge,1070,Federal Court Judge,James Russell
yvan roy,Federal Court Judge,39586,Federal Court Judge,Yvan Roy
alan diner,Federal Court Judge,39415,Federal Court Judge,Alan Diner
robin camp,Federal Court Judge,39369,Federal Court Judge,Robin Camp
pierre archambault,Tax Court of Canada,39268,Tax Court of Canada,Pierre Archambault*
diane campbell,Tax Court of Canada,39435,Tax Court of Canada,Diane Campbell
philip leong,APEC Advisory Council,39715,APEC Advisory Council,Philip Leong
john bradlow,Economic Advisory Council,39734,Economic Advisory Council,John Bradlow
peter brown,Economic Advisory Council,39737,Economic Advisory Council,Peter Brown
paul desmarais,Economic Advisory Council,39747,Economic Advisory Council,Paul Desmarais
murray edwards,Economic Advisory Council,1082,Economic Advisory Council,Murray Edwards
donald lindsay,Economic Advisory Council,39788,Economic Advisory Council,Donald Lindsay
andrew oland,Economic Advisory Council,39898,Economic Advisory Council,Andrew Oland
derek burney,"Senior Strategic Advisor, Norton Rose Fulbright, Ottawa, Ontario",40228,Advisory Council for CanadaÕs Global Markets Action Plan (GMAP),Derek Burney
marc parent,"President and Chief Executive Officer, CAE, Saint-Laurent, Quebec",1094,Advisory Council for CanadaÕs Global Markets Action Plan (GMAP),Marc Parent
ian smith,"Chief Executive Officer, Clearwater Seafoods Ltd., Bedford, Nova Scotia",39950,Advisory Council for CanadaÕs Global Markets Action Plan (GMAP),Ian Smith
nancy southern,"Chair, President and CEO, ATCO Group, Calgary, Alberta",40678,Advisory Council for CanadaÕs Global Markets Action Plan (GMAP),Nancy Southern
