"OriginalName","Organizations","Type","CleanName","CleanNameNoMiddle","IsDuplicate",
"Donnelly, Mary-Lou","Canada Employment Insurance Commission","Govenor In Council Appointments","Donnelly, Mary-Lou","Donnelly, Mary-Lou","n",
"Levonian, Louise","Canada Employment Insurance Commission","Govenor In Council Appointments","Levonian, Louise","Levonian, Louise","n",
"Brown, Lynda","Canada Foundation for Innovation","Govenor In Council Appointments","Brown, Lynda","Brown, Lynda","n",
"Kelly-Gagnon, Michel","Canada Foundation for Innovation","Govenor In Council Appointments","Kelly-Gagnon, Michel","Kelly-Gagnon, Michel","n",
"Beaudet, Alain","Canada Foundation for Innovation,æCanadian Institutes of Health Research","Govenor In Council Appointments","Beaudet, Alain","Beaudet, Alain","n",
"Bradlow, John","Canada Foundation for Sustainable Development Technology","Govenor In Council Appointments","Bradlow, John","Bradlow, John","n",
"Kavanagh, Sarah","Canada Foundation for Sustainable Development Technology","Govenor In Council Appointments","Kavanagh, Sarah","Kavanagh, Sarah","n",
"Lee, Jason","Canada Foundation for Sustainable Development Technology","Govenor In Council Appointments","Lee, Jason","Lee, Jason","n",
"Lunn, Gary","Canada Foundation for Sustainable Development Technology","Govenor In Council Appointments","Lunn, Gary","Lunn, Gary","n",
"McGregor, Ellen","Canada Foundation for Sustainable Development Technology","Govenor In Council Appointments","McGregor, Ellen","McGregor, Ellen","n",
"Berthiaume, Annie","Canada Industrial Relations Board","Govenor In Council Appointments","Berthiaume, Annie","Berthiaume, Annie","n",
"Charbonneau, Daniel","Canada Industrial Relations Board","Govenor In Council Appointments","Charbonneau, Daniel","Charbonneau, Daniel","n",
"Clarke, Graham","Canada Industrial Relations Board","Govenor In Council Appointments","Clarke, Graham","Clarke, Graham","n",
"Fecteau, Louise","Canada Industrial Relations Board","Govenor In Council Appointments","Fecteau, Louise","Fecteau, Louise","n",
"Lecavalier, André","Canada Industrial Relations Board","Govenor In Council Appointments","Lecavalier, André","Lecavalier, André","n",
"Ménard, Gaétan","Canada Industrial Relations Board","Govenor In Council Appointments","Ménard, Gaétan","Ménard, Gaétan","n",
"Rivard, Normand","Canada Industrial Relations Board","Govenor In Council Appointments","Rivard, Normand","Rivard, Normand","n",
"Smith, Allison","Canada Industrial Relations Board","Govenor In Council Appointments","Smith, Allison","Smith, Allison","n",
"Houle, Jocelyne","Canada Lands Company Limited","Govenor In Council Appointments","Houle, Jocelyne","Houle, Jocelyne","n",
"Jenkins, Toby","Canada Lands Company Limited","Govenor In Council Appointments","Jenkins, Toby","Jenkins, Toby","n",
"Macos, Nicholas","Canada Lands Company Limited","Govenor In Council Appointments","Macos, Nicholas","Macos, Nicholas","n",
"McBain, John","Canada Lands Company Limited","Govenor In Council Appointments","McBain, John","McBain, John","n",
"Poirier-Landry, Louise","Canada Mortgage and Housing Corporation","Govenor In Council Appointments","Poirier-Landry, Louise","Poirier-Landry, Louise","n",
"Shirreff, Bruce","Canada Mortgage and Housing Corporation","Govenor In Council Appointments","Shirreff, Bruce","Shirreff, Bruce","n",
"Bourne, Ian","Canada Pension Plan Investment Board","Govenor In Council Appointments","Bourne, Ian","Bourne, Ian","n",
"Choquette, Pierre","Canada Pension Plan Investment Board","Govenor In Council Appointments","Choquette, Pierre","Choquette, Pierre","n",
"Hassan, Tahira","Canada Pension Plan Investment Board","Govenor In Council Appointments","Hassan, Tahira","Hassan, Tahira","n",
"Munroe-Blum, Heather","Canada Pension Plan Investment Board","Govenor In Council Appointments","Munroe-Blum, Heather","Munroe-Blum, Heather","n",
"Sheriff, Karen","Canada Pension Plan Investment Board","Govenor In Council Appointments","Sheriff, Karen","Sheriff, Karen","n",
"Taylor, Kathleen","Canada Pension Plan Investment Board","Govenor In Council Appointments","Taylor, Kathleen","Taylor, Kathleen","n",
"Wallace, Murray","Canada Pension Plan Investment Board","Govenor In Council Appointments","Wallace, Murray","Wallace, Murray","n",
"Chopra, Deepak","Canada Post Corporation","Govenor In Council Appointments","Chopra, Deepak","Chopra, Deepak","n",
"Desjardins, Michèle","Canada Post Corporation","Govenor In Council Appointments","Desjardins, Michèle","Desjardins, Michèle","n",
"Sans Cartier, Alain","Canada Post Corporation","Govenor In Council Appointments","Sans Cartier, Alain","Sans Cartier, Alain","n",
"Woodley, Donald","Canada Post Corporation","Govenor In Council Appointments","Woodley, Donald","Woodley, Donald","n",
"Bourke, Myles","Canada Revenue Agency","Govenor In Council Appointments","Bourke, Myles","Bourke, Myles","n",
"Buonpensiere, Rossana","Canada Revenue Agency","Govenor In Council Appointments","Buonpensiere, Rossana","Buonpensiere, Rossana","n",
"Hayes, Susan","Canada Revenue Agency","Govenor In Council Appointments","Hayes, Susan","Hayes, Susan","n",
"Lalani, Fauzia","Canada Revenue Agency","Govenor In Council Appointments","Lalani, Fauzia","Lalani, Fauzia","n",
"Martel-Vaillancourt, Francine","Canada Revenue Agency","Govenor In Council Appointments","Martel-Vaillancourt, Francine","Martel-Vaillancourt, Francine","n",
"Melhorn, Margaret","Canada Revenue Agency","Govenor In Council Appointments","Melhorn, Margaret","Melhorn, Margaret","n",
"Sumara, Joyce","Canada Revenue Agency","Govenor In Council Appointments","Sumara, Joyce","Sumara, Joyce","n",
"Thorpe, Richard","Canada Revenue Agency","Govenor In Council Appointments","Thorpe, Richard","Thorpe, Richard","n",
"Cicnjak-Chubbs, Lidija","Canada-Newfoundland and Labrador Offshore Petroleum Board","Govenor In Council Appointments","Cicnjak-Chubbs, Lidija","Cicnjak-Chubbs, Lidija","n",
"Hickman, Cynthia","Canada-Newfoundland and Labrador Offshore Petroleum Board","Govenor In Council Appointments","Hickman, Cynthia","Hickman, Cynthia","n",
"Sullivan, Conrad","Canada-Newfoundland and Labrador Offshore Petroleum Board","Govenor In Council Appointments","Sullivan, Conrad","Sullivan, Conrad","n",
"Tessier, Scott","Canada-Newfoundland and Labrador Offshore Petroleum Board","Govenor In Council Appointments","Tessier, Scott","Tessier, Scott","n",
"Williams, Ed","Canada-Newfoundland and Labrador Offshore Petroleum Board","Govenor In Council Appointments","Williams, Ed","Williams, Ed","n",
"Gregory, Douglas","Canada-Nova Scotia Offshore Petroleum Board","Govenor In Council Appointments","Gregory, Douglas","Gregory, Douglas","n",
"Lewis, Brian","Canada-Nova Scotia Offshore Petroleum Board","Govenor In Council Appointments","Lewis, Brian","Lewis, Brian","n",
"Pinks, Stuart","Canada-Nova Scotia Offshore Petroleum Board","Govenor In Council Appointments","Pinks, Stuart","Pinks, Stuart","n",
"Benoit, Paul","Canadian Air Transport Security Authority","Govenor In Council Appointments","Benoit, Paul","Benoit, Paul","n",
"Dufour, Jean-Marc","Canadian Air Transport Security Authority","Govenor In Council Appointments","Dufour, Jean-Marc","Dufour, Jean-Marc","n",
"Koop, Dora","Canadian Air Transport Security Authority","Govenor In Council Appointments","Koop, Dora","Koop, Dora","n",
"Souccar, Rafik","Canadian Air Transport Security Authority","Govenor In Council Appointments","Souccar, Rafik","Souccar, Rafik","n",
"Watt, Angus","Canadian Air Transport Security Authority","Govenor In Council Appointments","Watt, Angus","Watt, Angus","n",
"Meyers Norris Penny LLP","Canadian Beef Cattle Research, Market Development & Promotion Agency","Govenor In Council Appointments","Meyers Norris Penny LLP","Meyers Norris Penny LLP","n",
"Chong, Sonja","Canadian Broadcasting Corporation","Govenor In Council Appointments","Chong, Sonja","Chong, Sonja","n",
"Gingras, Pierre","Canadian Broadcasting Corporation","Govenor In Council Appointments","Gingras, Pierre","Gingras, Pierre","n",
"Jeffery, Robert","Canadian Broadcasting Corporation","Govenor In Council Appointments","Jeffery, Robert","Jeffery, Robert","n",
"Lacroix, Hubert","Canadian Broadcasting Corporation","Govenor In Council Appointments","Lacroix, Hubert","Lacroix, Hubert","n",
"Larkin, Marni","Canadian Broadcasting Corporation","Govenor In Council Appointments","Larkin, Marni","Larkin, Marni","n",
"May, Norman","Canadian Broadcasting Corporation","Govenor In Council Appointments","May, Norman","May, Norman","n",
"McCaw, Maureen","Canadian Broadcasting Corporation","Govenor In Council Appointments","McCaw, Maureen","McCaw, Maureen","n",
"Oden, Marlie","Canadian Broadcasting Corporation","Govenor In Council Appointments","Oden, Marlie","Oden, Marlie","n",
"Racine, Rémi","Canadian Broadcasting Corporation","Govenor In Council Appointments","Racine, Rémi","Racine, Rémi","n",
"Beckett, John","Canadian Centre for Occupational Health and Safety","Govenor In Council Appointments","Beckett, John","Beckett, John","n",
"Botelho, Helder","Canadian Centre for Occupational Health and Safety","Govenor In Council Appointments","Botelho, Helder","Botelho, Helder","n",
"Dennis, Sophie","Canadian Centre for Occupational Health and Safety","Govenor In Council Appointments","Dennis, Sophie","Dennis, Sophie","n",
"Germain, Phillip","Canadian Centre for Occupational Health and Safety","Govenor In Council Appointments","Germain, Phillip","Germain, Phillip","n",
"Grundy, David","Canadian Centre for Occupational Health and Safety","Govenor In Council Appointments","Grundy, David","Grundy, David","n",
"Henney, Kimberley","Canadian Centre for Occupational Health and Safety","Govenor In Council Appointments","Henney, Kimberley","Henney, Kimberley","n",
"Horvath, Stevan","Canadian Centre for Occupational Health and Safety","Govenor In Council Appointments","Horvath, Stevan","Horvath, Stevan","n",
"Pouliot, Marcel","Canadian Centre for Occupational Health and Safety","Govenor In Council Appointments","Pouliot, Marcel","Pouliot, Marcel","n",
"Kapoor, Renu","Canadian Centre on Substance Abuse","Govenor In Council Appointments","Kapoor, Renu","Kapoor, Renu","n",
"McFarlane, Audrey","Canadian Centre on Substance Abuse","Govenor In Council Appointments","McFarlane, Audrey","McFarlane, Audrey","n",
"Notarandrea, Rita","Canadian Centre on Substance Abuse","Govenor In Council Appointments","Notarandrea, Rita","Notarandrea, Rita","n",
"Bassan, Daniela","Canadian Commercial Corporation","Govenor In Council Appointments","Bassan, Daniela","Bassan, Daniela","n",
"Castelli, Ray","Canadian Commercial Corporation","Govenor In Council Appointments","Castelli, Ray","Castelli, Ray","n",
"Lucas, Dwayne","Canadian Commercial Corporation","Govenor In Council Appointments","Lucas, Dwayne","Lucas, Dwayne","n",
"Robillard, Claude","Canadian Commercial Corporation","Govenor In Council Appointments","Robillard, Claude","Robillard, Claude","n",
"Rowe, Derrick","Canadian Commercial Corporation","Govenor In Council Appointments","Rowe, Derrick","Rowe, Derrick","n",
"Saxton, Andrew","Canadian Commercial Corporation","Govenor In Council Appointments","Saxton, Andrew","Saxton, Andrew","n",
"Sorocky, Stephen","Canadian Commercial Corporation","Govenor In Council Appointments","Sorocky, Stephen","Sorocky, Stephen","n",
"Verkindt, Nicole","Canadian Commercial Corporation","Govenor In Council Appointments","Verkindt, Nicole","Verkindt, Nicole","n",
"Zablocki, Martin","Canadian Commercial Corporation","Govenor In Council Appointments","Zablocki, Martin","Zablocki, Martin","n",
"Gagné, Martin","Canadian Commercial Corporation,æIndependent Review Panel for Defence Acquisition","Govenor In Council Appointments","Gagné, Martin","Gagné, Martin","n",
"Bulger, Stephen","Canadian Cultural Property Export Review Board","Govenor In Council Appointments","Bulger, Stephen","Bulger, Stephen","n",
"Buttignol, Rudy","Canadian Cultural Property Export Review Board","Govenor In Council Appointments","Buttignol, Rudy","Buttignol, Rudy","n",
"Epstein, Clarence","Canadian Cultural Property Export Review Board","Govenor In Council Appointments","Epstein, Clarence","Epstein, Clarence","n",
"Feheley, Patricia","Canadian Cultural Property Export Review Board","Govenor In Council Appointments","Feheley, Patricia","Feheley, Patricia","n",
"Forrestall, William","Canadian Cultural Property Export Review Board","Govenor In Council Appointments","Forrestall, William","Forrestall, William","n",
"Lacoursiére, Alain","Canadian Cultural Property Export Review Board","Govenor In Council Appointments","Lacoursiére, Alain","Lacoursiére, Alain","n",
"Rowat, Theresa","Canadian Cultural Property Export Review Board","Govenor In Council Appointments","Rowat, Theresa","Rowat, Theresa","n",
"Johnston, Alistair","Canadian Dairy Commission","Govenor In Council Appointments","Johnston, Alistair","Johnston, Alistair","n",
"Hermanson, Elwin","Canadian Grain Commission","Govenor In Council Appointments","Hermanson, Elwin","Hermanson, Elwin","n",
"MacKay, Murdoch","Canadian Grain Commission","Govenor In Council Appointments","MacKay, Murdoch","MacKay, Murdoch","n",
"Smolik, Jim","Canadian Grain Commission","Govenor In Council Appointments","Smolik, Jim","Smolik, Jim","n",
"Boudreault, Richard","Canadian High Arctic Research Station","Govenor In Council Appointments","Boudreault, Richard","Boudreault, Richard","n",
"Huebert, Robert","Canadian High Arctic Research Station","Govenor In Council Appointments","Huebert, Robert","Huebert, Robert","n",
"Nightingale, John","Canadian High Arctic Research Station","Govenor In Council Appointments","Nightingale, John","Nightingale, John","n",
"Scott, David","Canadian High Arctic Research Station","Govenor In Council Appointments","Scott, David","Scott, David","n",
"Erskine, Tara","Canadian Human Rights Commission","Govenor In Council Appointments","Erskine, Tara","Erskine, Tara","n",
"Landry, Marie-Claude","Canadian Human Rights Commission","Govenor In Council Appointments","Landry, Marie-Claude","Landry, Marie-Claude","n",
"Warolin, Peggy","Canadian Human Rights Commission","Govenor In Council Appointments","Warolin, Peggy","Warolin, Peggy","n",
"Cantin, Christiane","Canadian Human Rights Tribunal","Govenor In Council Appointments","Cantin, Christiane","Cantin, Christiane","n",
"Gallivan, Lisa","Canadian Human Rights Tribunal","Govenor In Council Appointments","Gallivan, Lisa","Gallivan, Lisa","n",
"Gupta, Susheel","Canadian Human Rights Tribunal","Govenor In Council Appointments","Gupta, Susheel","Gupta, Susheel","n",
"Luftig, Olga","Canadian Human Rights Tribunal","Govenor In Council Appointments","Luftig, Olga","Luftig, Olga","n",
"Marchildon, Sophie","Canadian Human Rights Tribunal","Govenor In Council Appointments","Marchildon, Sophie","Marchildon, Sophie","n",
"Perrault, Anie","Canadian Human Rights Tribunal","Govenor In Council Appointments","Perrault, Anie","Perrault, Anie","n",
"Ulyatt, George","Canadian Human Rights Tribunal","Govenor In Council Appointments","Ulyatt, George","Ulyatt, George","n",
"Bernier, Jean-Robert","Canadian Institutes of Health Research","Govenor In Council Appointments","Bernier, Jean-Robert","Bernier, Jean-Robert","n",
"Caron, Nadine","Canadian Institutes of Health Research","Govenor In Council Appointments","Caron, Nadine","Caron, Nadine","n",
"Davies, Maura","Canadian Institutes of Health Research","Govenor In Council Appointments","Davies, Maura","Davies, Maura","n",
"Fischer, Debbie","Canadian Institutes of Health Research","Govenor In Council Appointments","Fischer, Debbie","Fischer, Debbie","n",
"Garfinkel, Paul","Canadian Institutes of Health Research","Govenor In Council Appointments","Garfinkel, Paul","Garfinkel, Paul","n",
"Jardine, Lawrence","Canadian Institutes of Health Research","Govenor In Council Appointments","Jardine, Lawrence","Jardine, Lawrence","n",
"Kennedy, Simon","Canadian Institutes of Health Research","Govenor In Council Appointments","Kennedy, Simon","Kennedy, Simon","n",
"Power, Christine","Canadian Institutes of Health Research","Govenor In Council Appointments","Power, Christine","Power, Christine","n",
"Turik, Lori","Canadian Institutes of Health Research","Govenor In Council Appointments","Turik, Lori","Turik, Lori","n",
"Young, Terry-Lynn","Canadian Institutes of Health Research","Govenor In Council Appointments","Young, Terry-Lynn","Young, Terry-Lynn","n",
"McArdle, André","Canadian Intergovernmental Conference Secretariat","Govenor In Council Appointments","McArdle, André","McArdle, André","n",
"Bédard, Jean","Canadian International Trade Tribunal","Govenor In Council Appointments","Bédard, Jean","Bédard, Jean","n",
"Burn, Peter","Canadian International Trade Tribunal","Govenor In Council Appointments","Burn, Peter","Burn, Peter","n",
"Downey, Jason","Canadian International Trade Tribunal","Govenor In Council Appointments","Downey, Jason","Downey, Jason","n",
"Fréchette, Serge","Canadian International Trade Tribunal","Govenor In Council Appointments","Fréchette, Serge","Fréchette, Serge","n",
"Penner, Ann","Canadian International Trade Tribunal","Govenor In Council Appointments","Penner, Ann","Penner, Ann","n",
"Petit, Daniel","Canadian International Trade Tribunal","Govenor In Council Appointments","Petit, Daniel","Petit, Daniel","n",
"Ritcey, Rose","Canadian International Trade Tribunal","Govenor In Council Appointments","Ritcey, Rose","Ritcey, Rose","n",
"Asper, Gail","Canadian Museum for Human Rights","Govenor In Council Appointments","Asper, Gail","Asper, Gail","n",
"Granot, Deena","Canadian Museum for Human Rights","Govenor In Council Appointments","Granot, Deena","Granot, Deena","n",
"Hughes, Eric","Canadian Museum for Human Rights","Govenor In Council Appointments","Hughes, Eric","Hughes, Eric","n",
"Ledohowski, Lindy","Canadian Museum for Human Rights","Govenor In Council Appointments","Ledohowski, Lindy","Ledohowski, Lindy","n",
"Littlechild, Wilton","Canadian Museum for Human Rights,æIndian Residential Schools Truth and Reconciliation Commission","Govenor In Council Appointments","Littlechild, Wilton","Littlechild, Wilton","n",
"Baxter, Judith","Canadian Museum of History","Govenor In Council Appointments","Baxter, Judith","Baxter, Judith","n",
"Bliss, Michael","Canadian Museum of History","Govenor In Council Appointments","Bliss, Michael","Bliss, Michael","n",
"Giguére, Patricia-Jean","Canadian Museum of History","Govenor In Council Appointments","Giguére, Patricia-Jean","Giguére, Patricia-Jean","n",
"Gwyn, Richard","Canadian Museum of History","Govenor In Council Appointments","Gwyn, Richard","Gwyn, Richard","n",
"Langille, Ken","Canadian Museum of History","Govenor In Council Appointments","Langille, Ken","Langille, Ken","n",
"McCreery, Christopher","Canadian Museum of History","Govenor In Council Appointments","McCreery, Christopher","McCreery, Christopher","n",
"O'Neill, Mark","Canadian Museum of History","Govenor In Council Appointments","O'Neill, Mark","O'Neill, Mark","n",
"Thibault, Claude","Canadian Museum of History","Govenor In Council Appointments","Thibault, Claude","Thibault, Claude","n",
"Boudreau, Mark","Canadian Museum of Immigration at Pier 21","Govenor In Council Appointments","Boudreau, Mark","Boudreau, Mark","n",
"Chan, Tung","Canadian Museum of Immigration at Pier 21","Govenor In Council Appointments","Chan, Tung","Chan, Tung","n",
"Chapman, Marie","Canadian Museum of Immigration at Pier 21","Govenor In Council Appointments","Chapman, Marie","Chapman, Marie","n",
"Chiodo, Ralph","Canadian Museum of Immigration at Pier 21","Govenor In Council Appointments","Chiodo, Ralph","Chiodo, Ralph","n",
"LeBlanc, Richard","Canadian Museum of Immigration at Pier 21","Govenor In Council Appointments","LeBlanc, Richard","LeBlanc, Richard","n",
"Myers, Troy","Canadian Museum of Immigration at Pier 21","Govenor In Council Appointments","Myers, Troy","Myers, Troy","n",
"Ross, Carrie","Canadian Museum of Immigration at Pier 21","Govenor In Council Appointments","Ross, Carrie","Ross, Carrie","n",
"Calderoni, Ronald","Canadian Museum of Nature","Govenor In Council Appointments","Calderoni, Ronald","Calderoni, Ronald","n",
"Feasby, Douglas","Canadian Museum of Nature","Govenor In Council Appointments","Feasby, Douglas","Feasby, Douglas","n",
"Joanisse, Martin","Canadian Museum of Nature","Govenor In Council Appointments","Joanisse, Martin","Joanisse, Martin","n",
"Manhas, Reg","Canadian Museum of Nature","Govenor In Council Appointments","Manhas, Reg","Manhas, Reg","n",
"McCarron, Alice","Canadian Museum of Nature","Govenor In Council Appointments","McCarron, Alice","McCarron, Alice","n",
"Neiles, Byron","Canadian Museum of Nature","Govenor In Council Appointments","Neiles, Byron","Neiles, Byron","n",
"Offord, Nicholas","Canadian Museum of Nature","Govenor In Council Appointments","Offord, Nicholas","Offord, Nicholas","n",
"Rankin Nash, Erin","Canadian Museum of Nature","Govenor In Council Appointments","Rankin Nash, Erin","Rankin Nash, Erin","n",
"Binder, Michael","Canadian Nuclear Safety Commission","Govenor In Council Appointments","Binder, Michael","Binder, Michael","n",
"Harvey, André","Canadian Nuclear Safety Commission","Govenor In Council Appointments","Harvey, André","Harvey, André","n",
"Tolgyesi, Dan","Canadian Nuclear Safety Commission","Govenor In Council Appointments","Tolgyesi, Dan","Tolgyesi, Dan","n",
"Velshi, Rumina","Canadian Nuclear Safety Commission","Govenor In Council Appointments","Velshi, Rumina","Velshi, Rumina","n",
"Attia, Paul","Canadian Race Relations Foundation","Govenor In Council Appointments","Attia, Paul","Attia, Paul","n",
"Bromberg, Anita","Canadian Race Relations Foundation","Govenor In Council Appointments","Bromberg, Anita","Bromberg, Anita","n",
"Daud, Aslam","Canadian Race Relations Foundation","Govenor In Council Appointments","Daud, Aslam","Daud, Aslam","n",
"Douglass-Williams, Christine","Canadian Race Relations Foundation","Govenor In Council Appointments","Douglass-Williams, Christine","Douglass-Williams, Christine","n",
"Friedman, Rubin","Canadian Race Relations Foundation","Govenor In Council Appointments","Friedman, Rubin","Friedman, Rubin","n",
"Ghanem, Ashraf","Canadian Race Relations Foundation","Govenor In Council Appointments","Ghanem, Ashraf","Ghanem, Ashraf","n",
"Lo, Albert","Canadian Race Relations Foundation","Govenor In Council Appointments","Lo, Albert","Lo, Albert","n",
"Samsundar, Khamini","Canadian Race Relations Foundation","Govenor In Council Appointments","Samsundar, Khamini","Samsundar, Khamini","n",
"Silberman, Toni","Canadian Race Relations Foundation","Govenor In Council Appointments","Silberman, Toni","Silberman, Toni","n",
"Blais, Jean-Pierre","Canadian Radio-television and Telecommunications Commission","Govenor In Council Appointments","Blais, Jean-Pierre","Blais, Jean-Pierre","n",
"Dupras, Yves","Canadian Radio-television and Telecommunications Commission","Govenor In Council Appointments","Dupras, Yves","Dupras, Yves","n",
"Menzies, Peter","Canadian Radio-television and Telecommunications Commission","Govenor In Council Appointments","Menzies, Peter","Menzies, Peter","n",
"Pentefountas, Athanasios","Canadian Radio-television and Telecommunications Commission","Govenor In Council Appointments","Pentefountas, Athanasios","Pentefountas, Athanasios","n",
"Shoan, Raj","Canadian Radio-television and Telecommunications Commission","Govenor In Council Appointments","Shoan, Raj","Shoan, Raj","n",
"Vennard, Linda","Canadian Radio-television and Telecommunications Commission","Govenor In Council Appointments","Vennard, Linda","Vennard, Linda","n",
"Arki, Louis","Canadian Securities Regulation Regime Transition Office","Govenor In Council Appointments","Arki, Louis","Arki, Louis","n",
"Brown, Peter","Canadian Securities Regulation Regime Transition Office","Govenor In Council Appointments","Brown, Peter","Brown, Peter","n",
"Hashmi, Yousef","Canadian Securities Regulation Regime Transition Office","Govenor In Council Appointments","Hashmi, Yousef","Hashmi, Yousef","n",
"Hinds, James","Canadian Securities Regulation Regime Transition Office","Govenor In Council Appointments","Hinds, James","Hinds, James","n",
"Linn, Dale","Canadian Securities Regulation Regime Transition Office","Govenor In Council Appointments","Linn, Dale","Linn, Dale","n",
"MacDougall, Gary","Canadian Securities Regulation Regime Transition Office","Govenor In Council Appointments","MacDougall, Gary","MacDougall, Gary","n",
"Morris, Winston","Canadian Securities Regulation Regime Transition Office","Govenor In Council Appointments","Morris, Winston","Morris, Winston","n",
"Pretorius, Frederik","Canadian Securities Regulation Regime Transition Office","Govenor In Council Appointments","Pretorius, Frederik","Pretorius, Frederik","n",
"Coulombe, Michel","Canadian Security Intelligence Service","Govenor In Council Appointments","Coulombe, Michel","Coulombe, Michel","n",
"Laporte, Sylvain","Canadian Space Agency","Govenor In Council Appointments","Laporte, Sylvain","Laporte, Sylvain","n",
"Allison, Scott","Canadian Tourism Commission","Govenor In Council Appointments","Allison, Scott","Allison, Scott","n",
"Ilich, Olga","Canadian Tourism Commission","Govenor In Council Appointments","Ilich, Olga","Ilich, Olga","n",
"Matovic, Dragan","Canadian Tourism Commission","Govenor In Council Appointments","Matovic, Dragan","Matovic, Dragan","n",
"Poudrette, Danielle","Canadian Tourism Commission","Govenor In Council Appointments","Poudrette, Danielle","Poudrette, Danielle","n",
"Tsang, Rita","Canadian Tourism Commission","Govenor In Council Appointments","Tsang, Rita","Tsang, Rita","n",
"Ackermans, Faye","Canadian Transportation Accident Investigation and Safety Board","Govenor In Council Appointments","Ackermans, Faye","Ackermans, Faye","n",
"Gosselin, Hélène","Canadian Transportation Accident Investigation and Safety Board","Govenor In Council Appointments","Gosselin, Hélène","Gosselin, Hélène","n",
"Hincke, Joseph","Canadian Transportation Accident Investigation and Safety Board","Govenor In Council Appointments","Hincke, Joseph","Hincke, Joseph","n",
"RLB LLP","Canadian Turkey Marketing Agency","Govenor In Council Appointments","RLB LLP","RLB LLP","n",
"Welch LLP","Chicken Farmers of Canada,æCanadian Hatching Egg Producers","Govenor In Council Appointments","Welch LLP","Welch LLP","n",
"Brum Bozzi, Renata","Citizenship Commission","Govenor In Council Appointments","Brum Bozzi, Renata","Brum Bozzi, Renata","n",
"Giroux, Renée","Citizenship Commission","Govenor In Council Appointments","Giroux, Renée","Giroux, Renée","n",
"Gravill, Larry","Citizenship Commission","Govenor In Council Appointments","Gravill, Larry","Gravill, Larry","n",
"Janega, Ann","Citizenship Commission","Govenor In Council Appointments","Janega, Ann","Janega, Ann","n",
"Johnson, Veronica","Citizenship Commission","Govenor In Council Appointments","Johnson, Veronica","Johnson, Veronica","n",
"McCrae, James","Citizenship Commission","Govenor In Council Appointments","McCrae, James","McCrae, James","n",
"Minor, Dane","Citizenship Commission","Govenor In Council Appointments","Minor, Dane","Minor, Dane","n",
"Mozeson, Laurie","Citizenship Commission","Govenor In Council Appointments","Mozeson, Laurie","Mozeson, Laurie","n",
"Nguyen, Trang","Citizenship Commission","Govenor In Council Appointments","Nguyen, Trang","Nguyen, Trang","n",
"O'Malley, Terrence","Citizenship Commission","Govenor In Council Appointments","O'Malley, Terrence","O'Malley, Terrence","n",
"Osmane, Farid","Citizenship Commission","Govenor In Council Appointments","Osmane, Farid","Osmane, Farid","n",
"Paine, Andrea","Citizenship Commission","Govenor In Council Appointments","Paine, Andrea","Paine, Andrea","n",
"Persichilli, Angelo","Citizenship Commission","Govenor In Council Appointments","Persichilli, Angelo","Persichilli, Angelo","n",
"Rokerya, Rafiq","Citizenship Commission","Govenor In Council Appointments","Rokerya, Rafiq","Rokerya, Rafiq","n",
"Sami, Marian","Citizenship Commission","Govenor In Council Appointments","Sami, Marian","Sami, Marian","n",
"Senécal-Tremblay, Marie","Citizenship Commission","Govenor In Council Appointments","Senécal-Tremblay, Marie","Senécal-Tremblay, Marie","n",
"Siew, Nancy","Citizenship Commission","Govenor In Council Appointments","Siew, Nancy","Siew, Nancy","n",
"Sniegowski, Wojciech","Citizenship Commission","Govenor In Council Appointments","Sniegowski, Wojciech","Sniegowski, Wojciech","n",
"Taschereau, Myriam","Citizenship Commission","Govenor In Council Appointments","Taschereau, Myriam","Taschereau, Myriam","n",
"Vachon, Normand","Citizenship Commission","Govenor In Council Appointments","Vachon, Normand","Vachon, Normand","n",
"Wong, Albert","Citizenship Commission","Govenor In Council Appointments","Wong, Albert","Wong, Albert","n",
"Wong, Roy","Citizenship Commission","Govenor In Council Appointments","Wong, Roy","Wong, Roy","n",
"Woodard, Joseph","Citizenship Commission","Govenor In Council Appointments","Woodard, Joseph","Woodard, Joseph","n",
"Gibault, George","Civilian Review and Complaints Commission for the Royal Canadian Mounted Police","Govenor In Council Appointments","Gibault, George","Gibault, George","n",
"Askanas, Wiktor","Competition Tribunal","Govenor In Council Appointments","Askanas, Wiktor","Askanas, Wiktor","n",
"Gascon, Denis","Competition Tribunal","Govenor In Council Appointments","Gascon, Denis","Gascon, Denis","n",
"Majeau, Claude","Copyright Board","Govenor In Council Appointments","Majeau, Claude","Majeau, Claude","n",
"Thomas, Dennis","Court of Queen's Bench of Alberta","Govenor In Council Appointments","Thomas, Dennis","Thomas, Dennis","n",
"Gosselin, Daniel","Courts Administration Service","Govenor In Council Appointments","Gosselin, Daniel","Gosselin, Daniel","n",
"Awashish, Philip","Cree-Naskapi Commission","Govenor In Council Appointments","Awashish, Philip","Awashish, Philip","n",
"Kanatewat, Robert","Cree-Naskapi Commission","Govenor In Council Appointments","Kanatewat, Robert","Kanatewat, Robert","n",
"Saunders, Richard","Cree-Naskapi Commission","Govenor In Council Appointments","Saunders, Richard","Saunders, Richard","n",
"Boyd, John","Defence Construction (1951) Limited","Govenor In Council Appointments","Boyd, John","Boyd, John","n",
"Cataford, Paul","Defence Construction (1951) Limited","Govenor In Council Appointments","Cataford, Paul","Cataford, Paul","n",
